"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Transportation","1",1474082563,"Transportation","1",1474082563
"Travel","2",864267184,"Personal travel","2.2",765282220
"Construction services","4",253205047,"Construction services","4",253205047
"Government services, n.i.e.","11",226494220,"Government services, n.i.e.","11",226494220
"Insurance services","5",173563711,"Insurance services","5",173563711
"Travel","2",864267184,"Business travel","2.1",98984963
"Computer and information services","7",92071128,"Computer and information services","7",92071128
"Financial services","6",73180868,"Financial services","6",73180868
"Other business services","9",28826537,"Other business services","9",28826537
"Royalties and license fees","8",17719064,"Royalties and license fees","8",17719064